type,clientName,clientNameEn,code,description,exchange,full_name,name,securityName,stockNo,createdAt,updatedAt,marketCapPrev,sharesOutstanding,sort,symbol_ref,lastDateSyncIDS
s,Công ty Cổ phần Vật liệu xây dựng Bến Tre,Ben Tre Construction Material Joint Stock Company,VXB,,UPCOM,VXB,VXB,,upcom:9024,2022-07-11T01:15:00.442Z,2023-10-04T01:30:30.613Z,78550716400.0,4049006.0,,,
s,Công ty Cổ phần Nhựa Picomat,Picomat Plastic Joint Stock Company,PCH,,HNX,PCH,PCH,,hnx:81243,2022-07-28T01:15:00.744Z,2023-10-04T01:30:30.777Z,156199929000.0,21999990.0,,,
w,,,CVHM2301,,HOSE,CVHM2301,CVHM2301,Chung quyen.VHM.KIS.M.CA.,hose:4692,2023-06-14T00:50:00.235Z,2023-06-14T00:50:00.235Z,,,,,
w,,,CMSN2302,,HOSE,CMSN2302,CMSN2302,CHUNG QUYEN MSN/ACBS/CALL,hose:4714,2023-06-15T00:50:00.329Z,2023-06-15T00:50:00.330Z,,,,,
w,,,CMSN2304,,HOSE,CMSN2304,CMSN2304,CQ.MSN.KIS.M.CA.T.22,hose:4728,2023-06-16T00:50:00.309Z,2023-06-16T00:50:00.309Z,,,,,
f,,,GB10F2403,,FU,GB10F2403,GB10F2403,,fu:1188,2023-06-26T00:50:00.363Z,2023-06-26T00:50:00.363Z,,,,,
s,Tổng Công ty Cổ phần Xây dựng Công nghiệp Việt Nam,Vietnam Industrial Construction Corporation,VVN,,UPCOM,VVN,VVN,,upcom:76620,2022-05-05T06:56:56.264Z,2023-10-04T01:30:23.351Z,291500000000.0,55000000.0,,,
s,Công ty Cổ phần Đầu tư Cảng Cái Lân,Cai Lan Port Investment Joint Stock Company,CPI,,UPCOM,CPI,CPI,,upcom:76322,2022-05-05T06:56:56.315Z,2023-10-04T01:30:23.656Z,87612000000.0,36505000.0,,,
s,Công ty Cổ phần Dịch vụ Công nghệ Tin học HPT,HPT Vietnam Corporation,HPT,,UPCOM,HPT,HPT,,upcom:54504,2022-05-05T06:56:56.259Z,2023-10-04T01:30:24.849Z,134783738400.0,9910569.0,,,
s,Tổng Công ty Cổ phần Đầu tư Quốc tế Viettel,Viettel Global Investment Joint Stock Company,VGI,,UPCOM,VGI,VGI,,upcom:77759,2022-05-05T06:56:56.269Z,2023-10-04T01:30:24.929Z,70095928124800.0,3043811200.0,,,
s,Công ty Cổ phần Công trình Giao thông Sài Gòn,Saigon Traffic Construction Joint Stock Company,GTS,,UPCOM,GTS,GTS,,upcom:75162,2022-05-05T06:56:56.256Z,2023-10-04T01:30:25.128Z,282147663600.0,28499764.0,,,
s,Công ty Cổ phần Cảng xanh VIP,VIP Green Port Joint Stock Company,VGR,,UPCOM,VGR,VGR,,upcom:77139,2022-05-05T06:56:56.313Z,2023-10-04T01:30:25.328Z,2340250000000.0,63250000.0,,,
s,Công ty Cổ phần Nhựa Sài Gòn,Sai Gon Plastic Joint Stock Company,NSG,,UPCOM,NSG,NSG,,upcom:74619,2022-05-05T06:56:56.275Z,2023-10-04T01:30:27.101Z,112309704000.0,8639208.0,,,
s,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Mechanical and Industrial Construction Joint Stock Company,IME,,UPCOM,IME,IME,,upcom:54284,2022-05-05T06:56:56.325Z,2023-10-04T01:30:27.378Z,507592668000.0,3599948.0,,,
s,Công ty Cổ phần Vận tải và Dịch vụ Liên Ninh,Lien Ninh Transport and Service Joint Stock Company,BLN,,UPCOM,BLN,BLN,,upcom:74979,2022-05-05T06:56:56.333Z,2023-10-04T01:30:27.516Z,32500000000.0,5000000.0,,,
s,Công ty Cổ phần Xây lắp và Vật liệu xây dựng Đồng Tháp,DongThap Building Materials & Construction Joint Stock Company,BDT,,UPCOM,BDT,BDT,,upcom:76499,2022-05-05T06:56:56.265Z,2023-10-04T01:30:27.615Z,640104709000.0,38595400.0,,,
s,Công ty Cổ phần Vật tư Tổng hợp và Phân bón Hóa sinh,General Materials Biochemistry Fertilizer Joint Stock Company,HSI,,UPCOM,HSI,HSI,,upcom:73360,2022-05-05T06:56:56.273Z,2023-10-04T01:30:27.634Z,13839826000.0,9885590.0,,,
s,Công ty Cổ phần Trung Đô,Trung Do Joint Stock Company,TDF,,UPCOM,TDF,TDF,,upcom:79281,2022-05-05T06:56:56.277Z,2023-10-04T01:30:27.767Z,507540000000.0,30000000.0,,,
s,Công ty Cổ phần Cấp nước Sơn La,SonLa Water Supply Joint Stock Company,NSL,,UPCOM,NSL,NSL,,upcom:78599,2022-05-05T06:56:56.332Z,2023-10-04T01:30:28.054Z,227996785200.0,9999859.0,,,
s,Công ty Cổ phần Thuốc thú y Trung ương I,Vietnam Vererinary Products Joint Stock Company,VNY,,UPCOM,VNY,VNY,,upcom:77619,2022-05-05T06:56:56.266Z,2023-10-04T01:30:28.182Z,82874775600.0,16249956.0,,,
s,Công ty Cổ phần Thương mại Dầu khí,Petroleum Trading Joint Stock Company,PTV,,UPCOM,PTV,PTV,,upcom:78861,2022-05-05T06:56:56.277Z,2023-10-04T01:30:28.341Z,104580000000.0,20000000.0,,,
s,Công ty Cổ phần Phân đạm và Hóa chất Hà Bắc,HaBac Nitrogenous Ferlitizer & Chemicals Joint Stock Company,DHB,,UPCOM,DHB,DHB,,upcom:76323,2022-05-05T06:56:56.314Z,2023-10-04T01:30:28.525Z,2068720000000.0,272200000.0,,,
s,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng,Danang Pharmaceutical Medical Equipment Joint Stock Company,DDN,,UPCOM,DDN,DDN,,upcom:54046,2022-05-05T06:56:56.320Z,2023-10-04T01:30:28.575Z,136071792720.0,15349328.0,,,
s,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam - CTCP,Vietnam Engine and Agricultural Machinery Corporation,VEA,,UPCOM,VEA,VEA,,upcom:77439,2022-05-05T06:56:56.252Z,2023-10-04T01:30:28.794Z,49133708800000.0,1328800000.0,,,
s,Công ty Cổ phần Phát triển công trình viễn thông,Telecommunication Project Construction Development Joint Stock Company,TEL,,UPCOM,TEL,TEL,,upcom:76540,2022-05-05T06:56:56.262Z,2023-10-04T01:30:28.826Z,30500000000.0,5000000.0,,,
s,Công ty Cổ phần May mặc Bình Dương,Protrade Garment Joint Stock Company,BDG,,UPCOM,BDG,BDG,,upcom:74443,2022-05-05T06:56:56.309Z,2023-10-04T01:30:29.128Z,657024280560.0,24799920.0,,,
s,Công ty Cổ phần Cấp nước Sóc Trăng,Soc Trang Water Supply Joint Stock Company,STW,,UPCOM,STW,STW,,upcom:77460,2022-05-05T06:56:56.250Z,2023-10-04T01:30:29.517Z,141181883700.0,15863133.0,,,
s,Công ty Cổ phần Khu công nghiệp Cao su Bình Long,Binh Long Rubber Industrial Park Corporation,MH3,,UPCOM,MH3,MH3,,upcom:75739,2022-05-05T06:56:56.318Z,2023-10-04T01:30:30.061Z,792192000000.0,24000000.0,,,
s,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD8,Housing And Urban Development Investment Joint Stock Company HUD 8,HD8,,UPCOM,HD8,HD8,,upcom:78219,2022-05-05T06:56:56.318Z,2023-10-04T01:30:30.078Z,88890000000.0,10000000.0,,,
s,Công ty Cổ phần BOT Cầu Thái Hà,Thai Ha Bridge BOT Joint Stock Company,BOT,,UPCOM,BOT,BOT,,upcom:78159,2022-05-05T06:56:56.333Z,2023-10-04T01:30:30.199Z,224604618800.0,59246800.0,,,
b,,,BID122003,,HNX,BID122003,BID122003,,hnx:81001,2022-05-20T01:15:00.537Z,2022-05-20T01:15:00.537Z,,,,,
